Imaginary,Real
0.568574,-0.156461
0.564429,-0.172385
0.559828,-0.188211
0.554773,-0.203925
0.549266,-0.219515
0.543311,-0.234966
0.536911,-0.250266
0.530069,-0.265401
0.522788,-0.280358
0.515074,-0.295123
0.506932,-0.309684
0.498366,-0.324028
0.489382,-0.338142
0.479986,-0.352012
0.470184,-0.365628
0.459985,-0.378975
0.449393,-0.392043
0.438419,-0.404819
0.427068,-0.417291
0.415351,-0.429448
0.403275,-0.441278
0.390849,-0.452771
0.378084,-0.463915
0.364989,-0.4747
0.351574,-0.485116
0.33785,-0.495153
0.323828,-0.504801
0.309519,-0.514051
0.294934,-0.522894
0.280085,-0.53132
0.264985,-0.539323
0.249646,-0.546893
0.23408,-0.554024
0.2183,-0.560708
0.202319,-0.566939
0.186152,-0.572709
0.16981,-0.578013
0.153309,-0.582846
0.136662,-0.587202
0.119884,-0.591077
0.102988,-0.594466
0.0859891,-0.597365
0.0689021,-0.599772
0.0517416,-0.601682
0.0345223,-0.603095
0.0172593,-0.604007
-3.25206e-05,-0.604418
-0.017338,-0.604325
-0.0346422,-0.60373
-0.0519298,-0.602631
-0.0691858,-0.601028
-0.0863951,-0.598924
-0.103542,-0.596318
-0.120613,-0.593214
-0.137591,-0.589612
-0.154463,-0.585516
-0.171212,-0.58093
-0.187826,-0.575856
-0.204288,-0.570299
-0.220584,-0.564264
-0.2367,-0.557755
-0.252622,-0.550779
-0.268335,-0.54334
-0.283826,-0.535447
-0.299082,-0.527104
-0.314088,-0.51832
-0.328832,-0.509103
-0.3433,-0.49946
-0.357481,-0.489401
-0.371361,-0.478933
-0.384929,-0.468066
-0.398172,-0.456811
-0.41108,-0.445176
-0.42364,-0.433173
-0.435843,-0.420811
-0.447678,-0.408103
-0.459134,-0.395059
-0.470203,-0.381691
-0.480874,-0.368012
-0.491138,-0.354033
-0.500988,-0.339767
-0.510415,-0.325226
-0.519411,-0.310424
-0.527968,-0.295375
-0.536081,-0.28009
-0.543742,-0.264585
-0.550945,-0.248872
-0.557685,-0.232967
-0.563957,-0.216882
-0.569756,-0.200632
-0.575077,-0.184233
-0.579918,-0.167697
-0.584274,-0.15104
-0.588143,-0.134277
-0.591522,-0.117422
-0.59441,-0.100489
-0.596805,-0.0834945
-0.598707,-0.0664524
-0.600113,-0.0493775
-0.601026,-0.0322847
-0.601444,-0.0151887
-0.601369,0.00189584
-0.600802,0.0189542
-0.599745,0.0359718
-0.5982,0.0529344
-0.596169,0.0698274
-0.593657,0.0866367
-0.590666,0.103348
-0.5872,0.119948
-0.583263,0.136422
-0.578861,0.152757
-0.573999,0.16894
-0.568682,0.184956
-0.562916,0.200794
-0.556707,0.216441
-0.550063,0.231883
-0.54299,0.247109
-0.535496,0.262107
-0.527588,0.276865
-0.519275,0.29137
-0.510564,0.305614
-0.501466,0.319583
-0.491989,0.333268
-0.482141,0.346659
-0.471934,0.359745
-0.461376,0.372516
-0.450477,0.384965
-0.439249,0.397081
-0.427702,0.408856
-0.415846,0.420282
-0.403693,0.43135
-0.391254,0.442054
-0.37854,0.452387
-0.365562,0.46234
-0.352334,0.471909
-0.338865,0.481087
-0.325169,0.489868
-0.311257,0.498247
-0.297142,0.50622
-0.282836,0.513781
-0.268352,0.520926
-0.253701,0.527653
-0.238896,0.533957
-0.22395,0.539836
-0.208876,0.545287
-0.193686,0.550307
-0.178392,0.554896
-0.163008,0.559051
-0.147545,0.562772
-0.132017,0.566058
-0.116435,0.568908
-0.100813,0.571323
-0.0851622,0.573303
-0.0694955,0.574849
-0.0538251,0.575962
-0.0381629,0.576643
-0.0225211,0.576895
